"NUM_ID","NUM_IM","CODEBUR","LIEU_AF","MOTIF_AFFECT","FONCTION_AF","DIVISION_AF","SERVICE_AF","DIRECTION_AF","DATE_PS"
"2008DEC5","275 850","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2009DEC8","318 069","22TP","TOAMASINA-PETROLES","","CHEF DE SITE","","SOC","DSE",
"2000DEC4","275 855","34AS","ANTSIRANANA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",03/08/00
"2001DEC2","275 855","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2010DEC7","275 855","22TP","TOAMASINA-PETROLES","COMPLEMENT D'EFFECTIF","ECOR ET SURVEILLANCE","","SPCB","DSE",19/04/10
"2008DEC7","273 345","25BT","BETAINOMBY DEDIE SHERRITT","","","","SOC","DSE",
"2010DEC8","273 345","BSTMM","BS TOAMASINA","","","","SSLC","DSE",
"2014DEC20","273 345","22TP","TOAMASINA-PETROLES","COMPLEMENT D'EFFECTIF","BILLETEUR","","SPCB","DSE",
"2001DEC4","280 097","42MG","MAHAJANGA","COMPLEMENT D'EFFECTIF","IVL","","SOC","DSE",
"2006DEC14","280 097","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","IVL","","SOC","DSE",
"2008DEC14","280 097","DNFP","DIRECTION NATIONALE DE LA FORMATION PROFESSIONELLE","COMPLEMENT D'EFFECTIF","","","","DNFP",
"2008DEC15","280 097","22TP","TOAMASINA-PETROLES","COMPLEMENT D'EFFECTIF","IVL","","SOC","DSE",
"2013DEC11","280 097","25BT","BETAINOMBY DEDIE SHERRITT","NOMME RECEVEUR DES DOUANES BETAINOMBY","RECEVEUR DES DOUANES","","SPCB","DSE",
"2001DEC5","279 016","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","1ERE AFFECTATION","","","SOC","DSE",
"2015DEC16","311 112","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",18/01/16
"2010DEC37","269 330","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","","","","SPCB","DSE",
"2015DEC17","269 330","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",18/01/16
"2010DEC38","282 255","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","IVL","","SPCB","DSE",
"2015DEC18","282 255","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",18/01/16
"2010DEC39","331 005","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","IVL","","SPCB","DSE",
"2015DEC19","331 005","DGD","DIRECTION GENERALE DES DOUANES","COMPLEMENT D'EFFECTIF","","","","DGD",18/01/16
"2000DEC9","275 892","12IV","IVATO-AEROPORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2004DEC10","275 892","31AH","ANTALAHA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2006DEC26","275 892","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2014DEC67","275 892","25BT","BETAINOMBY DEDIE SHERRITT","COMPLEMENT D'EFFECTIF","","","SPCB","DSE",10/11/14
"2001DEC14","278 961","SRH","SERVICE DES RESSOURCES HUMAINES","COMPLEMENT D'EFFECTIF","RESPONSABLE DES AVANCEMENTS DES AGENTS AUXILIAIRES","DAA","SRH","DRF",16/07/01
"2010DEC47","238 301","CCSEAD","CELLULE DE COORDINATION,DE SUIVI ET D'EVALUATION DES ACTIONS DOUANIERES","NOMME MEMBRE CCSEAD","MEMBRE CCSEAD","","CCSEAD","DGD",
"2014DEC77","238 301","SID","SERVICE DE L'INSPECTION DOUANIERE","NOMME CHEF DE DIVISION","CHEF DE DIVISION","","SID","DGD",
"1998DEC4","271 981","SAI","SERVICE DE L'AUDIT ET DE L'INSPECTION","","","","SAI","",
"2004DEC11","271 981","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2014DEC80","271 981","PRMP","PERSONNE RESPONSABLE DU MARCHE PUBLIC","COMPLEMENT D'EFFECTIF","SECRETAIRE","","PRMP","DGD",
"2003DEC14","280 102","53TL","TOLIARA","COMPLEMENT D'EFFECTIF","","","SOC","DSE",
"2006DEC34","280 102","SED","SERVICE DES ETUDES ET DE LA DOCUMENTATION","COMPLEMENT D'EFFECTIF","","","SED","",
"2007DEC40","280 102","SAF","SERVICE ADMINISTRATIF ET FINANCIER","COMPLEMENT D'EFFECTIF","","","SAF","DGD",
"2014DEC84","280 102","21TO","BUREAU DES DOUANES DE TOAMASINA PORT","NOMME CHEF DES OPERATIONS COMMERCIALES","CHEF DES OPERATIONS COMMERCIALES","","SPCB","DSE",16/06/14
"2005DEC41","288 602","SAF","SERVICE ADMINISTRATIF ET FINANCIER","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SAF","DGD",
"2001DEC21","278 737","SRI","SERVICE DES RELATIONS INTERNATIONALES","COMPLEMENT D'EFFECTIF","","","SRI","DLR",
"2014DEC96","288 602","SRH","SERVICE DES RESSOURCES HUMAINES","COMPLEMENT D'EFFECTIF","CHAUFFEUR","","SRH","DRF",
